Reference, Value, Footprint, Datasheet
U2,Teensy_3.1,Zetaohm:Teensy3.1,
R16,4.7k,Resistors_SMD:R_0805_HandSoldering,
R17,4.7k,Resistors_SMD:R_0805_HandSoldering,
U4,MicroSD_Adapter,Zetaohm:MicroSD,
R19,4.7k,Resistors_SMD:R_0805_HandSoldering,
R18,4.7k,Resistors_SMD:R_0805_HandSoldering,
U1,ADA_SSD1306_I2C,Zetaohm:SSD1306,
P1,CONN_02X05,ab2_header:AB2_HDR_M05-2V,
P2,CONN_02X05,ab2_header:AB2_HDR_M05-2V,
U5,MCP1703,Housings_SOT-23_SOT-143_TSOT-6:SOT-23_Handsoldering,http://ww1.microchip.com/downloads/en/DeviceDoc/22049f.pdf
JP1,JUMPER3,Zetaohm:Jumper_3way,
JP2,JUMPER3,Zetaohm:Jumper_3way,
LED1,WS2812b,Zetaohm:WS2812b_SMD,
LED5,WS2812b,Zetaohm:WS2812b_SMD,
LED9,WS2812b,Zetaohm:WS2812b_SMD,
LED13,WS2812b,Zetaohm:WS2812b_SMD,
LED2,WS2812b,Zetaohm:WS2812b_SMD,
LED6,WS2812b,Zetaohm:WS2812b_SMD,
LED10,WS2812b,Zetaohm:WS2812b_SMD,
LED14,WS2812b,Zetaohm:WS2812b_SMD,
LED3,WS2812b,Zetaohm:WS2812b_SMD,
LED7,WS2812b,Zetaohm:WS2812b_SMD,
LED11,WS2812b,Zetaohm:WS2812b_SMD,
LED15,WS2812b,Zetaohm:WS2812b_SMD,
LED4,WS2812b,Zetaohm:WS2812b_SMD,
LED8,WS2812b,Zetaohm:WS2812b_SMD,
LED12,WS2812b,Zetaohm:WS2812b_SMD,
LED16,WS2812b,Zetaohm:WS2812b_SMD,
C1,100µf,Capacitors_SMD:C_0805_HandSoldering,
C2,100µf,Capacitors_SMD:C_0805_HandSoldering,
C3,100µf,Capacitors_SMD:C_0805_HandSoldering,
C4,100µf,Capacitors_SMD:C_0805_HandSoldering,
R1,500,Resistors_SMD:R_0805_HandSoldering,
U3,SAM2695,Housings_DFN_QFN:UQFN-48-1EP_6x6mm_Pitch0.4mm,
C14,22pF,Capacitors_SMD:C_0805_HandSoldering,
C13,22pF,Capacitors_SMD:C_0805_HandSoldering,
C17,10µfT,Capacitors_SMD:C_0805_HandSoldering,
C6,100nF,Capacitors_SMD:C_0805_HandSoldering,
C7,100nF,Capacitors_SMD:C_0805_HandSoldering,
C10,100nF,Capacitors_SMD:C_0805_HandSoldering,
C8,100nF,Capacitors_SMD:C_0805_HandSoldering,
C9,100nF,Capacitors_SMD:C_0805_HandSoldering,
D1,LL4148,SMD_Packages:SOD-523,
R3,10k,Resistors_SMD:R_0805_HandSoldering,
C5,1µfT,Capacitors_SMD:C_0805_HandSoldering,
C12,100µfT,Capacitors_SMD:C_0805_HandSoldering,
R4,47k,Resistors_SMD:R_0805_HandSoldering,
L1,742792093,Capacitors_SMD:C_0805_HandSoldering,
C18,100nF,Capacitors_SMD:C_0805_HandSoldering,
C19,10µfT,Capacitors_SMD:C_0805_HandSoldering,
R6,0,Resistors_SMD:R_0805_HandSoldering,
C16,10µfT,Capacitors_SMD:C_0805_HandSoldering,
C11,100µfT,Capacitors_SMD:C_0805_HandSoldering,
C15,100nF,Capacitors_SMD:C_0805_HandSoldering,
R5,47k,Resistors_SMD:R_0805_HandSoldering,
J1,HeadphoneOut,Zetaohm:Switchcraft_3.5mm_SMD_Stereo,
J2,MicIn,Zetaohm:Switchcraft_3.5mm_SMD_Stereo,
C20,1µfT,Capacitors_SMD:C_0805_HandSoldering,
C21,220pF,Capacitors_SMD:C_0805_HandSoldering,
R7,4.7k,Resistors_SMD:R_0805_HandSoldering,
R2,220,Resistors_SMD:R_0805_HandSoldering,
X1,12MHz,Zetaohm:Xtal_3.2mm,
C25,4.7µfT,Capacitors_SMD:C_0805_HandSoldering,
C26,100nF,Capacitors_SMD:C_0805_HandSoldering,
MIDI_OUT1,MIDI_CONN_FEMALE,Zetaohm:MIDI_Wire_Connector,
MIDI_IN1,MIDI_CONN_FEMALE,Zetaohm:MIDI_Wire_Connector,
MIDI_OPTOISOLATOR1,6N139,Housings_DIP:DIP-8__300_ELL,
D2,1A,SMD_Packages:SOD-523,
R8,220,Resistors_SMD:R_0805_HandSoldering,
C22,100µf,Capacitors_SMD:C_0805_HandSoldering,
R11,220,Resistors_SMD:R_0805_HandSoldering,
R9,220,Resistors_SMD:R_0805_HandSoldering,
R10,220,Resistors_SMD:R_0805_HandSoldering,
J7,Mono_AudioConnector,Zetaohm:THONKICONN,
R71,10k,Resistors_SMD:R_0805_HandSoldering,
R32,100k,Resistors_SMD:R_0805_HandSoldering,
U8,AD5676,Housings_SSOP:TSSOP-20_4.4x6.5mm_Pitch0.65mm,
C31,1nf,Capacitors_SMD:C_0805_HandSoldering,
U6,OPA4171,Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm,
R36,1k,Resistors_SMD:R_0805_HandSoldering,
R34,50k,Resistors_SMD:R_0805_HandSoldering,
J9,Mono_AudioConnector,Zetaohm:THONKICONN,
R41,100k,Resistors_SMD:R_0805_HandSoldering,
C33,1nf,Capacitors_SMD:C_0805_HandSoldering,
R45,1k,Resistors_SMD:R_0805_HandSoldering,
R43,50k,Resistors_SMD:R_0805_HandSoldering,
J3,Mono_AudioConnector,Zetaohm:THONKICONN,
R20,100k,Resistors_SMD:R_0805_HandSoldering,
C27,1nf,Capacitors_SMD:C_0805_HandSoldering,
R24,1k,Resistors_SMD:R_0805_HandSoldering,
R22,50k,Resistors_SMD:R_0805_HandSoldering,
J5,Mono_AudioConnector,Zetaohm:THONKICONN,
R26,100k,Resistors_SMD:R_0805_HandSoldering,
C29,1nf,Capacitors_SMD:C_0805_HandSoldering,
R30,1k,Resistors_SMD:R_0805_HandSoldering,
R28,50k,Resistors_SMD:R_0805_HandSoldering,
J8,Mono_AudioConnector,Zetaohm:THONKICONN,
R33,100k,Resistors_SMD:R_0805_HandSoldering,
C32,1nf,Capacitors_SMD:C_0805_HandSoldering,
R37,1k,Resistors_SMD:R_0805_HandSoldering,
R35,50k,Resistors_SMD:R_0805_HandSoldering,
J10,Mono_AudioConnector,Zetaohm:THONKICONN,
R42,100k,Resistors_SMD:R_0805_HandSoldering,
C34,1nf,Capacitors_SMD:C_0805_HandSoldering,
R46,1k,Resistors_SMD:R_0805_HandSoldering,
R44,50k,Resistors_SMD:R_0805_HandSoldering,
J4,Mono_AudioConnector,Zetaohm:THONKICONN,
R21,100k,Resistors_SMD:R_0805_HandSoldering,
C28,1nf,Capacitors_SMD:C_0805_HandSoldering,
R25,1k,Resistors_SMD:R_0805_HandSoldering,
R23,50k,Resistors_SMD:R_0805_HandSoldering,
J6,Mono_AudioConnector,Zetaohm:THONKICONN,
R27,100k,Resistors_SMD:R_0805_HandSoldering,
C30,1nf,Capacitors_SMD:C_0805_HandSoldering,
R31,1k,Resistors_SMD:R_0805_HandSoldering,
R29,50k,Resistors_SMD:R_0805_HandSoldering,
R38,82k,Resistors_SMD:R_0805_HandSoldering,
R39,47k,Resistors_SMD:R_0805_HandSoldering,
R40,220k,Resistors_SMD:R_0805_HandSoldering,
U7,OPA4171,Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm,
MCP1,MCP23017-QFN,Housings_DFN_QFN:QFN-28-1EP_6x6mm_Pitch0.65mm,
S0,DPST_Switch,Zetaohm:B3F-1050_6mm_Switch,
MCP2,MCP23017-QFN,Housings_DFN_QFN:QFN-28-1EP_6x6mm_Pitch0.65mm,
ENC2,Encoder_switch,Zetaohm:AB2_ROTARY_ENCODER_W_SWITCH,
R14,10k,Resistors_SMD:R_0805_HandSoldering,
R13,10k,Resistors_SMD:R_0805_HandSoldering,
C24,.01µf,Capacitors_SMD:C_0805_HandSoldering,
R12,10k,Resistors_SMD:R_0805_HandSoldering,
R15,10k,Resistors_SMD:R_0805_HandSoldering,
C23,.01µf,Capacitors_SMD:C_0805_HandSoldering,
S1,DPST_Switch,Zetaohm:B3F-1050_6mm_Switch,
S2,DPST_Switch,Zetaohm:B3F-1050_6mm_Switch,
S3,DPST_Switch,Zetaohm:B3F-1050_6mm_Switch,
S4,DPST_Switch,Zetaohm:B3F-1050_6mm_Switch,
S5,DPST_Switch,Zetaohm:B3F-1050_6mm_Switch,
S6,DPST_Switch,Zetaohm:B3F-1050_6mm_Switch,
S7,DPST_Switch,Zetaohm:B3F-1050_6mm_Switch,
S8,DPST_Switch,Zetaohm:B3F-1050_6mm_Switch,
S9,DPST_Switch,Zetaohm:B3F-1050_6mm_Switch,
S10,DPST_Switch,Zetaohm:B3F-1050_6mm_Switch,
S11,DPST_Switch,Zetaohm:B3F-1050_6mm_Switch,
S12,DPST_Switch,Zetaohm:B3F-1050_6mm_Switch,
S13,DPST_Switch,Zetaohm:B3F-1050_6mm_Switch,
S14,DPST_Switch,Zetaohm:B3F-1050_6mm_Switch,
S15,DPST_Switch,Zetaohm:B3F-1050_6mm_Switch,
SS0,DPST_Switch,Zetaohm:B3F-1050_6mm_Switch,
SS1,DPST_Switch,Zetaohm:B3F-1050_6mm_Switch,
SS2,DPST_Switch,Zetaohm:B3F-1050_6mm_Switch,
SS3,DPST_Switch,Zetaohm:B3F-1050_6mm_Switch,
SS4,DPST_Switch,Zetaohm:B3F-1050_6mm_Switch,
SS5,DPST_Switch,Zetaohm:B3F-1050_6mm_Switch,
SS6,DPST_Switch,Zetaohm:B3F-1050_6mm_Switch,
SS7,DPST_Switch,Zetaohm:B3F-1050_6mm_Switch,
SS8,DPST_Switch,Zetaohm:B3F-1050_6mm_Switch,
ENC1,Encoder_switch,Zetaohm:AB2_ROTARY_ENCODER_W_SWITCH,
R49,10k,Resistors_SMD:R_0805_HandSoldering,
R48,10k,Resistors_SMD:R_0805_HandSoldering,
C36,.01µf,Capacitors_SMD:C_0805_HandSoldering,
R47,10k,Resistors_SMD:R_0805_HandSoldering,
R50,10k,Resistors_SMD:R_0805_HandSoldering,
C35,.01µf,Capacitors_SMD:C_0805_HandSoldering,
U13,MCP6004,Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm,
R52,33k,Resistors_SMD:R_0805_HandSoldering,
R51,242,Resistors_SMD:R_0805_HandSoldering,
R55,200k,Resistors_SMD:R_0805_HandSoldering,
C37,3.3nf,Capacitors_SMD:C_0805_HandSoldering,
J11,Mono_AudioConnector,Zetaohm:THONKICONN,
R59,33k,Resistors_SMD:R_0805_HandSoldering,
R58,242,Resistors_SMD:R_0805_HandSoldering,
R60,200k,Resistors_SMD:R_0805_HandSoldering,
C38,3.3nf,Capacitors_SMD:C_0805_HandSoldering,
J14,Mono_AudioConnector,Zetaohm:THONKICONN,
R66,33k,Resistors_SMD:R_0805_HandSoldering,
R65,242,Resistors_SMD:R_0805_HandSoldering,
R67,200k,Resistors_SMD:R_0805_HandSoldering,
C39,3.3nf,Capacitors_SMD:C_0805_HandSoldering,
J17,Mono_AudioConnector,Zetaohm:THONKICONN,
R69,33k,Resistors_SMD:R_0805_HandSoldering,
R68,242,Resistors_SMD:R_0805_HandSoldering,
R70,200k,Resistors_SMD:R_0805_HandSoldering,
C40,3.3nf,Capacitors_SMD:C_0805_HandSoldering,
J18,Mono_AudioConnector,Zetaohm:THONKICONN,
Q1,Q_NPN_BCE,Housings_SOT-23_SOT-143_TSOT-6:SOT-23_Handsoldering,
R56,100k,Resistors_SMD:R_0805_HandSoldering,
R53,10k,Resistors_SMD:R_0805_HandSoldering,
J12,Mono_AudioConnector,Zetaohm:THONKICONN,
Q3,Q_NPN_BCE,Housings_SOT-23_SOT-143_TSOT-6:SOT-23_Handsoldering,
R63,100k,Resistors_SMD:R_0805_HandSoldering,
R61,10k,Resistors_SMD:R_0805_HandSoldering,
J15,Mono_AudioConnector,Zetaohm:THONKICONN,
Q2,Q_NPN_BCE,Housings_SOT-23_SOT-143_TSOT-6:SOT-23_Handsoldering,
R57,100k,Resistors_SMD:R_0805_HandSoldering,
R54,10k,Resistors_SMD:R_0805_HandSoldering,
J13,Mono_AudioConnector,Zetaohm:THONKICONN,
Q4,Q_NPN_BCE,Housings_SOT-23_SOT-143_TSOT-6:SOT-23_Handsoldering,
R64,100k,Resistors_SMD:R_0805_HandSoldering,
R62,10k,Resistors_SMD:R_0805_HandSoldering,
J16,Mono_AudioConnector,Zetaohm:THONKICONN,
